id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,cmc_rank,last_updated,USD_price,USD_volume_24h,USD_%change_24h,USD_market_cap,platform
27180,SaitaBit,SAITABIT,3,2023-06-23T07:29:26.000Z,20000000000.0,0.0,10000000000,False,5100,2023-11-15T12:41:59.176Z,0.00044334688476195853,1127.49,-0.91086044,0.0,
18853,MonoMoney,MONO,2,2022-03-16T10:21:32.000Z,500000000.0,0.0,500000000,False,5101,2023-11-15T12:41:59.176Z,0.008590339163831251,1121.51,-0.24414158,0.0,
20549,VersaGames,VERSA,20,2022-06-10T16:00:19.000Z,400000000.0,0.0,320000000,False,5102,2023-11-15T12:41:59.176Z,0.016729876010453493,1121.16,6.33672954,0.0,
10901,Shiba Floki Inu,FLOKI,2,2021-07-15T00:00:00.000Z,1000000000000000.0,0.0,1000000000000000,False,5103,2023-11-15T12:41:59.176Z,1.1632352627e-10,1117.21,9.18296369,0.0,
15857,QUASA,QUA,6,2021-12-09T09:48:22.000Z,,0.0,1018212870.65,False,5104,2023-11-15T12:41:59.176Z,0.0010644137498912838,1117.05,7.826268,0.0,
27348,Lillian Token,LYF,3,2023-07-01T17:32:50.000Z,120000000.0,0.0,60000000,False,5105,2023-11-15T12:41:59.176Z,0.005208923668862425,1113.92,-4.0419157,0.0,
23431,Morphex,MPX,15,2023-02-07T13:55:49.000Z,50000000.0,0.0,29500022,False,5106,2023-11-15T12:41:59.176Z,0.023401057408681872,1113.37,-1.74542213,0.0,
25230,Huebel Bolt,BOLT,2,2023-05-12T16:12:30.000Z,6000691.0,0.0,6000693.317361,False,5107,2023-11-15T12:41:59.176Z,0.056203930932692485,735.28,-0.24590152,0.0,
20039,Million Dollar Baby,MDB,4,2022-05-09T10:30:50.000Z,1000000000.0,0.0,1000000000,False,5108,2023-11-15T12:41:59.176Z,0.003402508065577959,1108.71,1.88237114,0.0,
21751,Supreme Finance,HYPES,1,2020-12-29T00:00:00.000Z,5000000000.0,0.0,5000000000,False,5109,2023-11-15T12:41:59.176Z,8.03712412276934e-06,1107.45,-5.43831564,0.0,
24887,Pepe Original Version,POV,8,2023-05-03T04:36:51.000Z,420690000000000.0,0.0,420690000000000,False,5110,2023-11-15T12:41:59.176Z,3.9498029379e-10,1106.0,-0.91658475,0.0,
25343,The White Lotus,LOTUS,8,2023-05-17T10:56:41.000Z,30000000.0,0.0,29875161.528767,False,5111,2023-11-15T12:41:59.176Z,0.44169801655202506,1105.71,-1.92376386,0.0,
24268,Thala,THL,11,2023-04-06T15:05:15.000Z,100000000.0,0.0,100000000,False,5112,2023-11-15T12:41:59.176Z,0.14842838919328,1104.76,-0.49299974,0.0,
26714,Blue Norva,BLU,5,2023-06-06T07:36:16.000Z,1000000000.0,0.0,1000000000,False,5113,2023-11-15T12:41:59.176Z,0.00040934676822306366,1104.26,-5.11015463,0.0,
26825,Plutus ARB,PLSARB,13,2023-06-08T10:50:08.000Z,,0.0,9002453,False,5114,2023-11-15T12:41:59.176Z,0.41608355056623614,1101.39,-3.73238101,0.0,
27378,Hello Puppy,BOB,4,2023-07-03T19:20:10.000Z,1200000000.0,0.0,1200000000,False,5115,2023-11-15T12:41:59.176Z,0.0002157838776800281,1094.91,5.91542539,0.0,
24158,Chronos,CHR,23,2023-03-30T08:57:58.000Z,,0.0,70174000,False,5116,2023-11-15T12:41:59.176Z,0.00703999678780377,1124.12,-1.35299564,0.0,
25862,CRISP Scored Mangroves,CRISP-M,3,2023-05-24T06:22:32.000Z,0.0,0.0,16928,False,5117,2023-11-15T12:41:59.176Z,30.32338080500581,1092.39,0.05644702,0.0,
19606,Empowa,EMP,4,2022-04-18T12:47:33.000Z,200000000.0,0.0,200000000,False,5118,2023-11-15T12:41:59.176Z,0.08966166675172517,1091.45,0.97378522,0.0,
25433,FROG,FROG,2,2023-05-19T15:58:02.000Z,1000000000.0,0.0,1000000000,False,5119,2023-11-15T12:41:59.176Z,0.0012733828543440807,1089.82,-0.92564538,0.0,
11918,GIBX Swap,X,6,2021-09-16T12:59:28.000Z,1000000000.0,0.0,520002818.971279,False,5120,2023-11-15T12:41:59.176Z,0.0005175293022231111,1122.1,-0.80037677,0.0,
23394,Tarmex,TARM,4,2023-10-26T13:08:34.000Z,1000000000.0,0.0,330000000,False,5121,2023-11-15T12:41:59.176Z,0.0009006542738230898,1085.9,23.62003053,0.0,
24645,OmniFlix Network,FLIX,1,2023-04-27T10:35:34.000Z,,0.0,0,False,5122,2023-11-15T12:41:59.176Z,0.05748593292332262,1394.65,-3.71551058,0.0,
26540,Block Buster Tech Inc,BBTF,1,2023-06-01T05:22:44.000Z,10000000000.0,0.0,10000000000,False,5123,2023-11-15T12:41:59.176Z,0.0004826746901326632,1082.97,3.22015431,0.0,
25331,Pepe AI,PEPEAI,3,2023-05-16T19:05:51.000Z,69000000000000.0,0.0,69000000000000,False,5124,2023-11-15T12:41:59.176Z,3.16934758358e-09,1082.86,1.50328743,0.0,
24210,GBANK APY,GBK,2,2023-04-03T23:01:06.000Z,3865497.0,0.0,3865497,False,5125,2023-11-15T12:41:59.176Z,0.060487175502508275,1081.89,1.35477467,0.0,
24874,FrysCrypto,FRY,6,2023-05-02T11:45:33.000Z,8000000000.0,0.0,7999999995,False,5126,2023-11-15T12:41:59.176Z,0.003014599972667901,1077.5,-14.22798268,0.0,
26845,Asap Sniper Bot,ASAP,3,2023-06-09T05:46:06.000Z,600000000.0,0.0,600000000,False,5127,2023-11-15T12:41:59.176Z,0.000769548936615755,1076.47,1.98881885,0.0,
15181,MonoX Protocol,MONO,1,2021-11-25T17:22:37.000Z,100000000.0,0.0,0,False,5128,2023-11-15T12:41:59.176Z,0.012404821897229246,1075.37,7.85094221,0.0,
24795,NOOT,$NOOT,6,2023-04-28T12:14:50.000Z,420690000000000.0,0.0,413448122961436,False,5129,2023-11-15T12:41:59.176Z,7.042338382e-10,1074.6,-2.87994342,0.0,
19687,DragonMaster,DMT,6,2022-04-21T17:07:34.000Z,1000000000.0,0.0,1000000000,False,5130,2023-11-15T12:41:59.176Z,0.008265458453649944,1069.72,5.49371021,0.0,
26846,INEDIBLE,INEDIBLE,4,2023-06-09T05:52:44.000Z,888888888888888.0,0.0,888888888888888,False,5131,2023-11-15T12:41:59.176Z,3.0905077686e-10,1068.91,-2.79006323,0.0,
